Dataset,Technique,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR
ULB,Baseline,0.9996,0.9747,0.7857,0.8701,0.9788,0.8817
ULB,SMOTE,0.9996,0.9518,0.8061,0.8729,0.9828,0.8802
ULB,ADASYN,0.9996,0.975,0.7959,0.8764,0.9812,0.8739
ULB,Undersampling,0.9993,0.8333,0.7653,0.7979,0.9757,0.6605
Synthétique,Baseline,0.9986,0.9694,0.7917,0.8716,0.9911,0.9001
Synthétique,SMOTE,0.9983,0.9135,0.7917,0.8482,0.9899,0.8773
Synthétique,ADASYN,0.9982,0.8621,0.8333,0.8475,0.9899,0.8811
Synthétique,Undersampling,0.9943,0.5203,0.6417,0.5746,0.9842,0.5518
